cub_id,inat_taxon_id,ebird_species_code,taxon_order,kingdom,phylum,class,order,family,genus,specific_epithet,scientific_name,kingdom_common_name,phylum_common_name,class_common_name,order_common_name,family_common_name,genus_common_name,common_name
46,558439,gadwal,468.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,strepera,Mareca strepera,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Wigeons and Allies,Gadwall
87,6930,mallar3,505.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Anas platyrhynchos,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Mallard
89,7109,hoomer,700.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes,cucullatus,Lophodytes cucullatus,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Hooded Merganser
90,6996,rebmer,716.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,serrator,Mergus serrator,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Mergansers,Red-breasted Merganser
52,4246,pibgre,1813.0,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Animals,Chordates,Birds,Grebes,Grebes,Pied-billed and Atitlán Grebes,Pied-billed Grebe
51,4209,horgre,1824.0,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,auritus,Podiceps auritus,Animals,Chordates,Birds,Grebes,Grebes,Typical Grebes,Horned Grebe
50,4205,eargre,1834.0,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,nigricollis,Podiceps nigricollis,Animals,Chordates,Birds,Grebes,Grebes,Typical Grebes,Eared Grebe
53,4235,wesgre,1846.0,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,Aechmophorus occidentalis,Animals,Chordates,Birds,Grebes,Grebes,Western and Clark's Grebes,Western Grebe
4,1972,grbani,3002.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,Crotophaga sulcirostris,Animals,Chordates,Birds,Cuckoos,Cuckoos,Anis,Groove-billed Ani
110,1986,greroa,3013.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Geococcyx,californianus,Geococcyx californianus,Animals,Chordates,Birds,Cuckoos,Cuckoos,Roadrunners,Greater Roadrunner
33,1965,yebcuc,3206.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,americanus,Coccyzus americanus,Animals,Chordates,Birds,Cuckoos,Cuckoos,Coccyzus Cuckoos,Yellow-billed Cuckoo
32,1964,mancuc,3209.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,minor,Coccyzus minor,Animals,Chordates,Birds,Cuckoos,Cuckoos,Coccyzus Cuckoos,Mangrove Cuckoo
31,1960,bkbcuc,3211.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,Coccyzus erythropthalmus,Animals,Chordates,Birds,Cuckoos,Cuckoos,Coccyzus Cuckoos,Black-billed Cuckoo
92,19577,comnig,3482.0,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Nightjars and Nighthawks,Typical Nighthawks,Common Nighthawk
22,199833,chwwid,3584.0,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,carolinensis,Antrostomus carolinensis,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Nightjars and Nighthawks,Typical American Nightjars,Chuck-will's-widow
105,199837,easwpw1,3604.0,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,vociferus,Antrostomus vociferus,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Nightjars and Nighthawks,Typical American Nightjars,Eastern Whip-poor-will
70,508366,grnvie1,4301.0,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Colibri,thalassinus,Colibri thalassinus,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Hummingbirds,Violetears,Mexican Violetear
68,6432,rthhum,4741.0,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,colubris,Archilochus colubris,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Hummingbirds,Ruby-throated and Black-chinned Hummingbirds,Ruby-throated Hummingbird
67,6317,annhum,4752.0,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Calypte,anna,Calypte anna,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Hummingbirds,Anna's and Costa's Hummingbirds,Anna's Hummingbird
69,6363,rufhum,4763.0,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,rufus,Selasphorus rufus,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Hummingbirds,"Rufous, Allen's, and Allied Hummingbirds",Rufous Hummingbird
72,4491,pomjae,6274.0,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,pomarinus,Stercorarius pomarinus,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies",Skuas and Jaegers,Jaegers,Pomarine Jaeger
71,4481,lotjae,6277.0,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,Stercorarius longicaudus,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies",Skuas and Jaegers,Jaegers,Long-tailed Jaeger
58,4415,piggui,6313.0,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,columba,Cepphus columba,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Auks, Murres, Guillemots, and Puffins",True Guillemots,Pigeon Guillemot
7,4543,parauk,6339.0,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,psittacula,Aethia psittacula,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Auks, Murres, Guillemots, and Puffins",Typical Auklets,Parakeet Auklet
6,4544,leaauk,6340.0,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,pusilla,Aethia pusilla,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Auks, Murres, Guillemots, and Puffins",Typical Auklets,Least Auklet
5,4542,creauk,6342.0,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,cristatella,Aethia cristatella,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Auks, Murres, Guillemots, and Puffins",Typical Auklets,Crested Auklet
8,4553,rhiauk,6343.0,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cerorhinca,monocerata,Cerorhinca monocerata,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Auks, Murres, Guillemots, and Puffins",Rhinoceros Auklets,Rhinoceros Auklet
106,4508,horpuf,6349.0,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,corniculata,Fratercula corniculata,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Auks, Murres, Guillemots, and Puffins",Puffins,Horned Puffin
84,4493,relkit,6358.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,brevirostris,Rissa brevirostris,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Kittiwakes,Red-legged Kittiwake
63,4555,ivogul,6360.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Pagophila,eburnea,Pagophila eburnea,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",,Ivory Gull
61,4353,heegul,6418.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,heermanni,Larus heermanni,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Large White-headed Gulls,Heermann's Gull
64,4364,ribgul,6427.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,delawarensis,Larus delawarensis,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Large White-headed Gulls,Ring-billed Gull
66,4345,wesgul,6432.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,occidentalis,Larus occidentalis,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Large White-headed Gulls,Western Gull
59,4385,calgul,6437.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,californicus,Larus californicus,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Large White-headed Gulls,California Gull
62,204533,hergul,6440.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,argentatus,Larus argentatus,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Large White-headed Gulls,Herring Gull
65,4366,slbgul,6482.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,schistisagus,Larus schistisagus,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Large White-headed Gulls,Slaty-backed Gull
60,4399,glwgul,6484.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,glaucescens,Larus glaucescens,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Large White-headed Gulls,Glaucous-winged Gull
147,144530,leater1,6569.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,antillarum,Sternula antillarum,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Small Terns,Least Tern
143,144537,caster1,6598.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,caspia,Hydroprogne caspia,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",,Caspian Tern
142,4512,blkter,6600.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,niger,Chlidonias niger,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Marsh Terns,Black Tern
144,4450,comter,6623.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,hirundo,Sterna hirundo,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Typical Terns,Common Tern
141,4449,arcter,6630.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,paradisaea,Sterna paradisaea,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Typical Terns,Arctic Tern
146,4457,forter,6643.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,forsteri,Sterna forsteri,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Typical Terns,Forster's Tern
145,144542,eleter1,6665.0,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,elegans,Thalasseus elegans,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies","Gulls, Terns, and Skimmers",Crested Terns,Elegant Tern
86,4621,pacloo,6718.0,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,pacifica,Gavia pacifica,Animals,Chordates,Birds,Loons,Loons,Loons,Pacific Loon
3,4192,sooalb1,6775.0,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebetria,fusca,Phoebetria fusca,Animals,Chordates,Birds,"Albatrosses, Petrels, and Allies",Albatrosses,Sooty Albatrosses,Sooty Albatross
2,4144,layalb,6788.0,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,immutabilis,Phoebastria immutabilis,Animals,Chordates,Birds,"Albatrosses, Petrels, and Allies",Albatrosses,North Pacific Albatrosses,Laysan Albatross
1,4141,bkfalb,6789.0,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,nigripes,Phoebastria nigripes,Animals,Chordates,Birds,"Albatrosses, Petrels, and Allies",Albatrosses,North Pacific Albatrosses,Black-footed Albatross
45,4180,norful,6869.0,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,glacialis,Fulmarus glacialis,Animals,Chordates,Birds,"Albatrosses, Petrels, and Allies",Shearwaters and Petrels,Fulmars,Northern Fulmar
44,4631,magfri,7089.0,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,magnificens,Fregata magnificens,Animals,Chordates,Birds,"Gannets, Cormorants, and Allies",Frigatebirds,Frigatebirds,Magnificent Frigatebird
23,1289607,bracor,7151.0,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Urile,penicillatus,Urile penicillatus,Animals,Chordates,Birds,"Gannets, Cormorants, and Allies",Cormorants and Shags,North Pacific Cormorants,Townsend's Cormorant
24,1289606,refcor,7152.0,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Urile,urile,Urile urile,Animals,Chordates,Birds,"Gannets, Cormorants, and Allies",Cormorants and Shags,North Pacific Cormorants,Red-faced Cormorant
25,1289605,pelcor,7153.0,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Urile,pelagicus,Urile pelagicus,Animals,Chordates,Birds,"Gannets, Cormorants, and Allies",Cormorants and Shags,North Pacific Cormorants,Pelagic Cormorant
100,4328,brnpel,7224.0,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,Pelecanus occidentalis,Animals,Chordates,Birds,"Pelicans, Herons, Ibises, and Allies",Pelicans,Pelicans,Brown Pelican
101,4327,grwpel1,7232.0,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,onocrotalus,Pelecanus onocrotalus,Animals,Chordates,Birds,"Pelicans, Herons, Ibises, and Allies",Pelicans,Pelicans,Great White Pelican
83,204519,whtkin2,9712.0,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Halcyon,smyrnensis,Halcyon smyrnensis,Animals,Chordates,Birds,Kingfishers and Allies,Kingfishers,Typical Woodland Kingfishers,White-throated Kingfisher
82,2552,rinkin1,9934.0,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,torquata,Megaceryle torquata,Animals,Chordates,Birds,Kingfishers and Allies,Kingfishers,Large Crested Kingfishers,Ringed Kingfisher
79,2548,belkin1,9939.0,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,alcyon,Megaceryle alcyon,Animals,Chordates,Birds,Kingfishers and Allies,Kingfishers,Large Crested Kingfishers,Belted Kingfisher
81,2662,piekin1,9940.0,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Ceryle,rudis,Ceryle rudis,Animals,Chordates,Birds,Kingfishers and Allies,Kingfishers,Pied Kingfishers,Pied Kingfisher
80,2669,grnkin,9949.0,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Chloroceryle,americana,Chloroceryle americana,Animals,Chordates,Birds,Kingfishers and Allies,Kingfishers,American Green Kingfishers,Green Kingfisher
191,18204,rehwoo,10834.0,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,erythrocephalus,Melanerpes erythrocephalus,Animals,Chordates,Birds,"Woodpeckers, Barbets, and Allies",Woodpeckers,Melanerpes Woodpeckers,Red-headed Woodpecker
189,18205,rebwoo,10887.0,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,carolinus,Melanerpes carolinus,Animals,Chordates,Birds,"Woodpeckers, Barbets, and Allies",Woodpeckers,Melanerpes Woodpeckers,Red-bellied Woodpecker
187,17638,attwoo1,10904.0,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,dorsalis,Picoides dorsalis,Animals,Chordates,Birds,"Woodpeckers, Barbets, and Allies",Woodpeckers,Three-toed Woodpeckers,American Three-toed Woodpecker
192,792988,dowwoo,11083.0,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,pubescens,Dryobates pubescens,Animals,Chordates,Birds,"Woodpeckers, Barbets, and Allies",Woodpeckers,Dryobates Woodpeckers,Downy Woodpecker
190,792993,recwoo,11109.0,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,borealis,Dryobates borealis,Animals,Chordates,Birds,"Woodpeckers, Barbets, and Allies",Woodpeckers,Dryobates Woodpeckers,Red-cockaded Woodpecker
188,17855,pilwoo,11435.0,Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,pileatus,Dryocopus pileatus,Animals,Chordates,Birds,"Woodpeckers, Barbets, and Allies",Woodpeckers,,Pileated Woodpecker
36,18236,norfli,11572.0,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,auratus,Colaptes auratus,Animals,Chordates,Birds,"Woodpeckers, Barbets, and Allies",Woodpeckers,Flickers,Northern Flicker
40,16110,olsfly,16467.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,cooperi,Contopus cooperi,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Pewees,Olive-sided Flycatcher
102,16079,wewpew,16489.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,sordidulus,Contopus sordidulus,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Pewees,Western Wood-Pewee
43,16603,yebfly,16526.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,flaviventris,Empidonax flaviventris,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Empid Flycatchers,Yellow-bellied Flycatcher
37,16638,acafly,16527.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,virescens,Empidonax virescens,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Empid Flycatchers,Acadian Flycatcher
39,16602,leafly,16540.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,minimus,Empidonax minimus,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Empid Flycatchers,Least Flycatcher
103,17013,blkpho,16574.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,nigricans,Sayornis nigricans,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Phoebes,Black Phoebe
103,17008,easpho,16583.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,phoebe,Sayornis phoebe,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Phoebes,Eastern Phoebe
103,17009,saypho,16585.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,saya,Sayornis saya,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Phoebes,Say's Phoebe
42,16447,verfly,16604.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,rubinus,Pyrocephalus rubinus,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,,Vermilion Flycatcher
38,16028,grcfly,16907.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,crinitus,Myiarchus crinitus,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Myiarchus Flycatchers,Great Crested Flycatcher
77,16787,trokin,17025.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,melancholicus,Tyrannus melancholicus,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Kingbirds,Tropical Kingbird
78,16798,grykin,17044.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,dominicensis,Tyrannus dominicensis,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Kingbirds,Gray Kingbird
41,16783,sctfly,17058.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,forficatus,Tyrannus forficatus,Animals,Chordates,Birds,Perching Birds,Tyrant Flycatchers,Kingbirds,Scissor-tailed Flycatcher
18,512108,spocat1,17096.0,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Ailuroedus,melanotis,Ailuroedus melanotis,Animals,Chordates,Birds,Perching Birds,Bowerbirds,Australo-Papuan Catbirds,Black-eared Catbird
151,73557,bkcvir1,18700.0,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,atricapilla,Vireo atricapilla,Animals,Chordates,Birds,Perching Birds,"Vireos, Shrike-Babblers, and Erpornis",Vireos,Black-capped Vireo
156,17408,whevir,18702.0,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,griseus,Vireo griseus,Animals,Chordates,Birds,Perching Birds,"Vireos, Shrike-Babblers, and Erpornis",Vireos,White-eyed Vireo
157,17365,yetvir,18752.0,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,flavifrons,Vireo flavifrons,Animals,Chordates,Birds,Perching Birds,"Vireos, Shrike-Babblers, and Erpornis",Vireos,Yellow-throated Vireo
152,17402,buhvir,18758.0,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,solitarius,Vireo solitarius,Animals,Chordates,Birds,Perching Birds,"Vireos, Shrike-Babblers, and Erpornis",Vireos,Blue-headed Vireo
153,17364,phivir,18774.0,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,philadelphicus,Vireo philadelphicus,Animals,Chordates,Birds,Perching Birds,"Vireos, Shrike-Babblers, and Erpornis",Vireos,Philadelphia Vireo
155,17394,warvir,18775.0,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,gilvus,Vireo gilvus,Animals,Chordates,Birds,Perching Birds,"Vireos, Shrike-Babblers, and Erpornis",Vireos,Warbling Vireo
154,891704,reevir1,18795.0,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,olivaceus,Vireo olivaceus,Animals,Chordates,Birds,Perching Birds,"Vireos, Shrike-Babblers, and Erpornis",Vireos,Red-eyed Vireo
111,12024,logshr,20571.0,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,ludovicianus,Lanius ludovicianus,Animals,Chordates,Birds,Perching Birds,Shrikes,Typical Shrikes,Loggerhead Shrike
112,559070,norshr1,20592.0,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,excubitor,Lanius excubitor,Animals,Chordates,Birds,Perching Birds,Shrikes,Typical Shrikes,Great Grey Shrike
75,8474,grnjay,20724.0,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,yncas,Cyanocorax yncas,Animals,Chordates,Birds,Perching Birds,"Crows, Jays, and Magpies",Cyanocorax Jays,Green Jay
73,8229,blujay,20786.0,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,cristata,Cyanocitta cristata,Animals,Chordates,Birds,Perching Birds,"Crows, Jays, and Magpies",Blue and Steller's Jays,Blue Jay
74,7829,flsjay,20793.0,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,coerulescens,Aphelocoma coerulescens,Animals,Chordates,Birds,Perching Birds,"Crows, Jays, and Magpies",Scrub-Jays and Allies,Florida Scrub Jay
93,8520,clanut,20980.0,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,columbiana,Nucifraga columbiana,Animals,Chordates,Birds,Perching Birds,"Crows, Jays, and Magpies",Nutcrackers,Clark's Nutcracker
29,8021,amecro,21054.0,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,brachyrhynchos,Corvus brachyrhynchos,Animals,Chordates,Birds,Perching Birds,"Crows, Jays, and Magpies","Crows, Ravens, Jackdaws, and Rook",American Crow
30,8001,fiscro,21068.0,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,ossifragus,Corvus ossifragus,Animals,Chordates,Birds,Perching Birds,"Crows, Jays, and Magpies","Crows, Ravens, Jackdaws, and Rook",Fish Crow
